gis_id,a_name,lat,lon,adress1,pref_id,pref_name,city_name,extract,thumbnail,note_url
1022418,男体山,36.764951,139.490684,,0,栃木県,,"標高2,486m",,https://ja.wikipedia.org/wiki/%E7%94%B7%E4%BD%93%E5%B1%B1
1022419,日光白根山,36.798602,139.375921,,0,栃木県,,"標高2,578m",,https://ja.wikipedia.org/wiki/%E6%97%A5%E5%85%89%E7%99%BD%E6%A0%B9%E5%B1%B1
1022420,皇海山,36.689863,139.336965,,0,栃木県,,"標高2,144m",,https://ja.wikipedia.org/wiki/%E7%9A%87%E6%B5%B7%E5%B1%B1
1022421,筑波山,36.225359,140.106942,,8,茨城県,,標高876m,,https://ja.wikipedia.org/wiki/%E7%AD%91%E6%B3%A2%E5%B1%B1
1022422,雲取山,35.855508,138.943914,,0,東京都,,"標高2,017m",,https://ja.wikipedia.org/wiki/%E9%9B%B2%E5%8F%96%E5%B1%B1
1022423,甲武信岳,35.909115,138.728908,,0,埼玉県,,"標高2,475m",,https://ja.wikipedia.org/wiki/%E7%94%B2%E6%AD%A6%E4%BF%A1%E5%B2%B3
1022424,金峰山,35.871661,138.62553,,0,山梨県,,"標高2,599m",,https://ja.wikipedia.org/wiki/%E9%87%91%E5%B3%B0%E5%B1%B1_(%E5%B1%B1%E6%A2%A8%E7%9C%8C%E3%83%BB%E9%95%B7%E9%87%8E%E7%9C%8C)
1022425,瑞牆山,35.893455,138.592088,,19,山梨県,,"標高2,230m",,https://ja.wikipedia.org/wiki/%E7%91%9E%E7%89%86%E5%B1%B1
1022426,大菩薩嶺,35.748762,138.845506,,19,山梨県,,"標高2,057m",,https://ja.wikipedia.org/wiki/%E5%A4%A7%E8%8F%A9%E8%96%A9%E5%B6%BA
1022427,富士山,35.360738,138.727373,,0,静岡県,,"標高3,776m",,https://ja.wikipedia.org/wiki/%E5%AF%8C%E5%A3%AB%E5%B1%B1
1022428,天城山,34.862844,139.001803,,22,静岡県,,"標高1,406m",,https://ja.wikipedia.org/wiki/%E5%A4%A9%E5%9F%8E%E5%B1%B1
1022429,白馬岳,36.75851,137.758555,,0,富山県,,"標高2,932m",,https://ja.wikipedia.org/wiki/%E7%99%BD%E9%A6%AC%E5%B2%B3
1022430,剱岳,36.623248,137.616878,,16,富山県,,"標高2,998m",,https://ja.wikipedia.org/wiki/%E5%89%B1%E5%B2%B3
1022431,立山,36.575959,137.619808,,16,富山県,,"標高3,015m",,https://ja.wikipedia.org/wiki/%E7%AB%8B%E5%B1%B1
1022432,槍ヶ岳,36.342024,137.647643,,20,長野県,,"標高3,180m",,https://ja.wikipedia.org/wiki/%E6%A7%8D%E3%83%B6%E5%B2%B3
1022433,穂高岳,36.278994,137.629062,,0,長野県,,"標高3,190m",,https://ja.wikipedia.org/wiki/%E7%A9%82%E9%AB%98%E5%B2%B3
1022434,笠ヶ岳,36.315477,137.550401,,0,岐阜県,,"標高2,897m",,https://ja.wikipedia.org/wiki/%E7%AC%A0%E3%83%B6%E5%B2%B3
1022435,焼岳,36.226864,137.587067,,0,長野県,,"標高2,455m",,https://ja.wikipedia.org/wiki/%E7%84%BC%E5%B2%B3
1022436,乗鞍岳,36.106487,137.553634,,0,長野県,,"標高3,026m",,https://ja.wikipedia.org/wiki/%E4%B9%97%E9%9E%8D%E5%B2%B3
1022437,御嶽山,35.893014,137.480439,,20,長野県,,"標高3,067m",,https://ja.wikipedia.org/wiki/%E5%BE%A1%E5%B6%BD%E5%B1%B1
1022438,木曽駒ヶ岳,42.063344,140.677287,,1,長野県,,"標高2,956m",,https://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9B%BD%E9%A7%92%E3%83%B6%E5%B2%B3
1022439,仙丈ヶ岳,35.4301,138.1112,,0,長野県,,"標高3,033m",,https://ja.wikipedia.org/wiki/%E4%BB%99%E4%B8%88%E3%83%B6%E5%B2%B3
1022440,北岳,35.4017,138.1431,,0,山梨県,,"標高3,192m",,https://ja.wikipedia.org/wiki/%E5%8C%97%E5%B2%B3
1022441,間ノ岳,35.3834,138.1353,,0,山梨県,,"標高3,189m",,https://ja.wikipedia.org/wiki/%E9%96%93%E3%83%8E%E5%B2%B3
1022442,大朝日岳,38.260533,139.922321,,6,山形県,,"標高1,870m",,https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%9C%9D%E6%97%A5%E5%B2%B3
1022443,大日岳,37.833203,139.660672,,0,新潟県,,"標高2,128m",,https://ja.wikipedia.org/wiki/%E9%A3%AF%E8%B1%8A%E5%B1%B1
1022444,飯豊山,37.854831,139.70711,,7,福島県,,"標高2,105m",,https://ja.wikipedia.org/wiki/%E9%A3%AF%E8%B1%8A%E5%B1%B1
1022445,魚沼駒ヶ岳,42.063344,140.677287,,1,新潟県,,"標高2,003m",,https://ja.wikipedia.org/wiki/%E9%AD%9A%E6%B2%BC%E9%A7%92%E3%83%B6%E5%B2%B3
1022446,平ヶ岳,37.002089,139.170919,,0,群馬県,,"標高2,141m",,https://ja.wikipedia.org/wiki/%E5%B9%B3%E3%83%B6%E5%B2%B3_(%E7%BE%A4%E9%A6%AC%E7%9C%8C%E3%83%BB%E6%96%B0%E6%BD%9F%E7%9C%8C)
1022447,巻機山,36.978551,138.964448,,0,群馬県,,"標高1,967m",,https://ja.wikipedia.org/wiki/%E5%B7%BB%E6%A9%9F%E5%B1%B1
1022448,谷川岳,36.837115,138.930157,,0,群馬県,,"標高1,978m",,https://ja.wikipedia.org/wiki/%E8%B0%B7%E5%B7%9D%E5%B2%B3
1022449,苗場山,36.845937,138.69032,,0,新潟県,,"標高2,145m",,https://ja.wikipedia.org/wiki/%E8%8B%97%E5%A0%B4%E5%B1%B1
1022450,妙高山,36.5318,138.07,,0,新潟県,,"標高2,454m",,https://ja.wikipedia.org/wiki/%E5%A6%99%E9%AB%98%E5%B1%B1
1022451,火打山,36.5511,138.0416,,0,新潟県,,"標高2,462m",,https://ja.wikipedia.org/wiki/%E7%81%AB%E6%89%93%E5%B1%B1
1022452,高妻山,36.4749,138.0318,,0,長野県,,"標高2,353m",,https://ja.wikipedia.org/wiki/%E9%AB%98%E5%A6%BB%E5%B1%B1
1022453,草津白根山,36.798602,139.375921,,0,群馬県,,"標高2,160m",,https://ja.wikipedia.org/wiki/%E8%8D%89%E6%B4%A5%E7%99%BD%E6%A0%B9%E5%B1%B1
1022454,四阿山,36.541764,138.412969,,0,長野県,,"標高2,354m",,https://ja.wikipedia.org/wiki/%E5%9B%9B%E9%98%BF%E5%B1%B1
1022455,浅間山,36.406526,138.522963,,0,群馬県,,"標高2,568m",,https://ja.wikipedia.org/wiki/%E6%B5%85%E9%96%93%E5%B1%B1
1022456,両神山,36.0234,138.841317,,11,埼玉県,,"標高1,723m",,https://ja.wikipedia.org/wiki/%E4%B8%A1%E7%A5%9E%E5%B1%B1
1022457,丹沢山,35.474293,139.16268,,14,神奈川県,,"標高1,567m",,https://ja.wikipedia.org/wiki/%E4%B8%B9%E6%B2%A2%E5%B1%B1
1022458,蛭ヶ岳,35.2859,139.0831,,0,長野県,,"標高1,673m",,https://ja.wikipedia.org/wiki/%E8%9B%AD%E3%83%B6%E5%B2%B3
1022459,雨飾山,36.5356,137.5757,,0,長野県,,"標高1,963m",,https://ja.wikipedia.org/wiki/%E9%9B%A8%E9%A3%BE%E5%B1%B1
1022460,高妻山,36.8,138.05194,,0,長野県,,"標高2,353m",,https://ja.wikipedia.org/wiki/%E9%AB%98%E5%A6%BB%E5%B1%B1
1022461,妙高山,36.89138,138.11339,,0,新潟県,,"標高2,454m",,https://ja.wikipedia.org/wiki/%E5%A6%99%E9%AB%98%E5%B1%B1
1022462,恵那山,35.443044,137.597891,,0,岐阜県,,"標高2,191m",,https://ja.wikipedia.org/wiki/%E6%81%B5%E9%82%A3%E5%B1%B1
1022463,甲斐駒ヶ岳,42.063344,140.677287,,1,北海道,,"標高2,967m",,https://ja.wikipedia.org/wiki/%E7%94%B2%E6%96%90%E9%A7%92%E3%83%B6%E5%B2%B3
1022464,観音ヶ岳,35.70173,138.304594,,19,山梨県,,"標高2,841m",,https://ja.wikipedia.org/wiki/%E9%B3%B3%E5%87%B0%E5%B1%B1
1022465,仙丈ヶ岳,35.4301,138.1112,,0,長野県,,"標高3,033m",,https://ja.wikipedia.org/wiki/%E4%BB%99%E4%B8%88%E3%83%B6%E5%B2%B3
1022466,北岳,35.4017,138.1431,,0,山梨県,,"標高3,192m",,https://ja.wikipedia.org/wiki/%E5%8C%97%E5%B2%B3
1022467,間ノ岳,35.3834,138.1353,,0,山梨県,,"標高3,189m",,https://ja.wikipedia.org/wiki/%E9%96%93%E3%83%8E%E5%B2%B3
1022468,塩見岳,35.573139,138.183636,,0,長野県,,"標高3,047m",,https://ja.wikipedia.org/wiki/%E5%A1%A9%E8%A6%8B%E5%B2%B3
1022469,悪沢岳,35.2951,138.1108,,0,長野県,,"標高3,141m",,https://ja.wikipedia.org/wiki/%E8%8D%92%E5%B7%9D%E5%B2%B3
1022470,赤石岳,35.461206,138.15736,,0,長野県,,"標高3,120m",,https://ja.wikipedia.org/wiki/%E8%B5%A4%E7%9F%B3%E5%B2%B3
1022471,聖岳,35.42254,138.139629,,0,長野県,,"標高3,013m",,https://ja.wikipedia.org/wiki/%E8%81%96%E5%B2%B3
1022472,光岳,35.338176,138.083779,,0,長野県,,"標高2,591m",,https://ja.wikipedia.org/wiki/%E5%85%89%E5%B2%B3
1022473,雨飾山,36.902383,137.962633,,0,長野県,,"標高1,963m",,https://ja.wikipedia.org/wiki/%E9%9B%A8%E9%A3%BE%E5%B1%B1
1022474,妙高山,36.89138,138.11339,,0,新潟県,,"標高2,454m",,https://ja.wikipedia.org/wiki/%E5%A6%99%E9%AB%98%E5%B1%B1
1022475,火打山,36.923056,138.067778,,0,新潟県,,"標高2,462m",,https://ja.wikipedia.org/wiki/%E7%81%AB%E6%89%93%E5%B1%B1
1022476,高妻山,36.8,138.05194,,0,長野県,,"標高2,353m",,https://ja.wikipedia.org/wiki/%E9%AB%98%E5%A6%BB%E5%B1%B1
1022477,美ヶ原,36.225796,138.107445,,20,長野県,,"標高2,034m",,https://ja.wikipedia.org/wiki/%E7%BE%8E%E3%83%B6%E5%8E%9F
1022478,霧ヶ峰,36.102894,138.19667,,20,長野県,,"標高1,925m",,https://ja.wikipedia.org/wiki/%E9%9C%A7%E3%83%B6%E5%B3%B0
1022479,蓼科山,36.103729,138.295071,,20,長野県,,"標高2,530m",,https://ja.wikipedia.org/wiki/%E8%93%BC%E7%A7%91%E5%B1%B1
1022480,八ヶ岳（赤岳）,35.5803,138.2223,,0,長野県,,"標高2,899m",,https://ja.wikipedia.org/wiki/%E5%85%AB%E3%83%B6%E5%B2%B3
1022481,白山,36.155063,136.771449,,0,岐阜県,,"標高2,702m",,https://ja.wikipedia.org/wiki/%E7%99%BD%E5%B1%B1
1022482,荒島岳,35.934289,136.601273,,18,福井県,,"標高1,523m",,https://ja.wikipedia.org/wiki/%E8%8D%92%E5%B3%B6%E5%B2%B3
1022483,伊吹山,35.417836,136.406346,,25,滋賀県,,"標高1,377m",,https://ja.wikipedia.org/wiki/%E4%BC%8A%E5%90%B9%E5%B1%B1
1022484,大台ヶ原山,34.185227,136.109199,,0,奈良県,,"標高1,695m",,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%8F%B0%E3%83%B6%E5%8E%9F%E5%B1%B1
1022485,八経ヶ岳,34.173586,135.90755,,29,奈良県,,"標高1,915m",,https://ja.wikipedia.org/wiki/%E5%85%AB%E7%B5%8C%E3%83%B6%E5%B2%B3
1022486,大山,35.371204,133.546356,,0,鳥取県,,"標高1,729m",,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%B1%B1_(%E9%B3%A5%E5%8F%96%E7%9C%8C)
1022487,剣山,33.853576,134.094281,,0,徳島県,,"標高1,955m",,https://ja.wikipedia.org/wiki/%E5%89%A3%E5%B1%B1
1022488,石鎚山,33.76777,133.115086,,38,愛媛県,,"標高1,982m",,https://ja.wikipedia.org/wiki/%E7%9F%B3%E9%8E%9A%E5%B1%B1
1022489,九重山,33.0444,131.1436,,0,大分県,,"標高1,787m",,https://ja.wikipedia.org/wiki/%E4%B9%9D%E9%87%8D%E5%B1%B1
1022490,阿蘇山,32.873679,131.058014,,43,熊本県,,"標高1,592m",,https://ja.wikipedia.org/wiki/%E9%98%BF%E8%98%87%E5%B1%B1
1022491,祖母山,32.828131,131.347045,,0,大分県,,"標高1,756m",,https://ja.wikipedia.org/wiki/%E7%A5%96%E6%AF%8D%E5%B1%B1
1022492,霧島山,31.909582,130.886395,,0,鹿児島県,,"標高1,700m",,https://ja.wikipedia.org/wiki/%E9%9C%A7%E5%B3%B6%E5%B1%B1
1022493,開聞岳,31.179926,130.528406,,46,鹿児島県,,標高922m,,https://ja.wikipedia.org/wiki/%E9%96%8B%E8%81%9E%E5%B2%B3
1022494,宮之浦岳,30.335951,130.504287,,46,鹿児島県,,"標高1,935m",,https://ja.wikipedia.org/wiki/%E5%AE%AE%E4%B9%8B%E6%B5%A6%E5%B2%B3
1022495,松本城,30.335951,130.504287,,46,鹿児島県,,"標高1,935m",,https://ja.wikipedia.org/wiki/%E6%9D%BE%E6%9C%AC%E5%9F%8E
